Apartment Name,Address,Latitude,Longitude,Mean Price(2b2b),
Chapel Towers,"1315 Morreene Rd Apartment 1-F, Durham, NC 27705",36.00500110,-78.95244713,1435,
blue light living ,"1605 Erwin Rd, Durham, NC 27705",36.00562223,-78.92225052,3200,
Chandler at University Tower,"20 Morcroft Ln, Durham, NC 27705",35.97272170,-78.95617396,1650,
Station Nine,"2211 Hillsborough Rd, Durham, NC 27705",36.00969219,-78.92524313,2100,
Brightleaf on Main,"1005 W Main St, Durham, NC 27701",36.00102119,-78.91060560,2400,
Cortland Bull City,"600 Willard St, Durham, NC 27701",35.99397387,-78.90819352,2100,
Alden Place at South Square,"100 Alexan Dr, Durham, NC 27707",35.96393579,-78.96637926,1400,
UHill Apartments,"3806 University Dr, Durham, NC 27707",35.96738897,-78.95231615,2300,
Springfield Apartments,"4600 University Dr, Durham, NC 27707",35.95820912,-78.96855020,2600,
Van Alen Apartments,"511 S Mangum St, Durham, NC 27701",35.99165950,-78.90230938,2500,
Liberty Warehouse,"530 Foster St, Durham, NC 27701",36.00126020,-78.90134087,2200,
The Oaks at Northgate,"1306 Leon St, Durham, NC 27705",36.02588332,-78.91263395,1000,
Van Alen Apartments,"511 S Mangum St, Durham, NC 27701",35.99154665,-78.90226646,2500,
University Ridge Apartments,"3611 University Dr, Durham, NC 27707",35.96631004,-78.94901470,1500,
Crossings @ 501,"4230 Garrett Rd, Durham, NC 27707",35.95898877,-78.97732463,1200,
The Flats Exchange on Erwin Apartments,"2610 Erwin Rd, Durham, NC 27705",36.01021676,-78.94550946,2400,
Campus Walk Apartment Complex,"2748 Campus Walk Ave, Durham, NC 27705",36.01018509,-78.95036766,1000,
Trinity Commons at Erwin,"2530 Erwin Rd, Durham, NC 27705",36.00904563,-78.94401673,2200,
The Belmont Apartments,"1000 McQueen Dr, Durham, NC 27705",36.01133756,-78.94826896,1400,
Republic Flats,"800 Finsbury St, Durham, NC 27703",35.88064675,-78.86568206,1600,
Alvista Durham,"4800 University Dr, Durham, NC 27707",35.95446322,-78.96764563,1200,
Woods Edge,"4655 Hope Valley Rd, Durham, NC 27707",35.92331059,-78.95463946,1400,
Willow Bend Apartments,"1718 Palmer St, Durham, NC 27707",35.98790780,-78.92361063,1000,
605 West End,"605 W Chapel Hill St, Durham, NC 27701",35.99696538,-78.91062151,1800,
Avana On Broad,"2335 Broad St, Durham, NC 27704",36.03096553,-78.91171836,1900,